key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.9167,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2307,99,-42,1,0,0,response3disk,,5,22,-7,1,0,0,rectangle,22,-7,1,0,0,,,,,,,22,-7,1,0,0,,0,13,13,100,1,
,,,,,,,,,,,,,FF,,,,,,,,3.733,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3110,126,-75,1,0,0,response3disk,,5,10,6,1,0,0,rectangle,10,6,1,0,0,,,,,,,10,6,1,0,0,,0,14,14,76,1,
,,,,,,,,,,,,,FF,,,,,,,,1.8672,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2829,-95,-68,1,0,0,response5disk,,2,21,-7,1,0,0,rectangle,21,-7,1,0,0,,,,,,,21,-7,1,0,0,,0,15,15,150,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3666,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3117,105,-69,1,0,0,response3disk,,5,-11,-5,1,0,0,rectangle,-11,-5,1,0,0,,,,,,,-11,-5,1,0,0,,0,16,16,20,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9166,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4299,115,61,1,0,0,response1disk,,6,-17,-11,1,0,0,rectangle,-17,-11,1,0,0,,,,,,,-17,-11,1,0,0,,0,17,17,99,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7862,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2456,59,112,1,0,0,response1disk,,7,19,3,1,0,0,rectangle,19,3,1,0,0,,,,,,,19,3,1,0,0,,0,18,18,92,1,
,,,,,,,,,,,,,FF,,,,,,,,1.8835,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2170,97,-69,1,0,0,response3disk,,5,-30,11,1,0,0,rectangle,-30,11,1,0,0,,,,,,,-30,11,1,0,0,,0,19,19,97,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7973,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1086,63,-91,1,0,0,response3disk,,4,8,-4,1,0,0,rectangle,8,-4,1,0,0,,,,,,,8,-4,1,0,0,,0,20,20,108,1,
,,,,,,,,,,,,,FF,,,,,,,,3.1828,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2510,56,-104,1,0,0,response3disk,,4,5,-10,1,0,0,rectangle,5,-10,1,0,0,,,,,,,5,-10,1,0,0,,0,21,21,31,1,
,,,,,,,,,,,,,FF,,,,,,,,1.183,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2790,-48,-86,1,0,0,response5disk,,3,3,-5,1,0,0,rectangle,3,-5,1,0,0,,,,,,,3,-5,1,0,0,,0,22,22,51,1,
