key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.3263,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4153,46,79,1,0,0,response1disk,,7,-5,-12,1,0,0,rectangle,-5,-12,1,0,0,,,,,,,-5,-12,1,0,0,,0,13,13,104,1,
,,,,,,,,,,,,,FF,,,,,,,,2.9236,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1179,116,36,1,0,0,response1disk,,6,-3,2,1,0,0,rectangle,125,62,1,0,0,response1disk_3,TRUE,6,6,"[138,46,254,284,241,254,282,119,274,157,24,258,137,74,15,183,60,220,104,1]",3.1807,9,-6,1,0,0,rectangle,0,14,14,2,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2093,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1714,50,85,1,0,0,response1disk,,7,-4,-10,1,0,0,rectangle,-4,-10,1,0,0,,,,,,,-4,-10,1,0,0,,0,15,15,5,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3682,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,518,41,-88,1,0,0,response3disk,,4,-2,-6,1,0,0,rectangle,-2,-6,1,0,0,,,,,,,-2,-6,1,0,0,,0,16,16,90,1,
,,,,,,,,,,,,,FF,,,,,,,,1.8761,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3525,53,-92,1,0,0,response3disk,,4,-2,-10,1,0,0,rectangle,-2,-10,1,0,0,,,,,,,-2,-10,1,0,0,,0,17,17,47,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3898,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1682,-98,46,1,0,0,response7disk,,1,8,-8,1,0,0,rectangle,8,-8,1,0,0,,,,,,,8,-8,1,0,0,,0,18,18,29,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3047,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1579,72,-47,1,0,0,response3disk,,5,-7,-10,1,0,0,rectangle,-7,-10,1,0,0,,,,,,,-7,-10,1,0,0,,0,19,19,154,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9372,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4210,91,45,1,0,0,response1disk,,6,7,1,1,0,0,rectangle,7,1,1,0,0,,,,,,,7,1,1,0,0,,0,20,20,92,1,
,,,,,,,,,,,,,FF,,,,,,,,2.6801,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,539,109,35,1,0,0,response1disk,,6,-20,-7,1,0,0,rectangle,-20,-7,1,0,0,,,,,,,-20,-7,1,0,0,,0,21,21,53,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1109,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3835,46,-104,1,0,0,response3disk,,4,1,0,1,0,0,rectangle,1,0,1,0,0,,,,,,,1,0,1,0,0,,0,22,22,106,1,
,,,,,,,,,,,,,FF,,,,,,,,3.3404,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,760,108,45,1,0,0,response1disk,,6,-8,1,1,0,0,rectangle,95,52,1,0,0,response1disk_3,TRUE,6,6,"[138,46,254,284,241,254,282,119,274,157,24,258,137,74,15,183,60,220,104,1]",1.4235,4,-15,1,0,0,rectangle,0,23,23,120,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9094,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3034,51,93,1,0,0,response1disk,,7,-7,-6,1,0,0,rectangle,-7,-6,1,0,0,,,,,,,-7,-6,1,0,0,,0,24,24,117,1,
,,,,,,,,,,,,,FF,,,,,,,,1.298,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1772,46,-113,1,0,0,response3disk,,4,-2,-3,1,0,0,rectangle,-2,-3,1,0,0,,,,,,,-2,-3,1,0,0,,0,25,25,126,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2081,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,352,-87,-42,1,0,0,response5disk,,2,0,-1,1,0,0,rectangle,0,-1,1,0,0,,,,,,,0,-1,1,0,0,,0,26,26,101,1,
,,,,,,,,,,,,,FF,,,,,,,,1.6329,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1843,81,-49,1,0,0,response3disk,,5,-10,9,1,0,0,rectangle,-10,9,1,0,0,,,,,,,-10,9,1,0,0,,0,27,27,136,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2925,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1858,97,72,1,0,0,response1disk,,6,-11,-5,1,0,0,rectangle,-11,-5,1,0,0,,,,,,,-11,-5,1,0,0,,0,28,28,142,1,
,,,,,,,,,,,,,FF,,,,,,,,2.3472,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3940,-109,-36,1,0,0,response5disk,,2,-3,1,1,0,0,rectangle,-3,1,1,0,0,,,,,,,-3,1,1,0,0,,0,29,29,56,1,
,,,,,,,,,,,,,FF,,,,,,,,2.4172,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1613,-50,-81,1,0,0,response5disk,,3,11,0,1,0,0,rectangle,11,0,1,0,0,,,,,,,11,0,1,0,0,,0,30,30,131,1,
,,,,,,,,,,,,,FF,,,,,,,,1.6391,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1655,68,87,1,0,0,response1disk,,7,-6,9,1,0,0,rectangle,-6,9,1,0,0,,,,,,,-6,9,1,0,0,,0,31,31,41,1,
,,,,,,,,,,,,,FF,,,,,,,,2.1529,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,960,121,33,1,0,0,response1disk,,6,10,-9,1,0,0,rectangle,10,-9,1,0,0,,,,,,,10,-9,1,0,0,,0,32,32,139,1,
,,,,,,,,,,,,,FF,,,,,,,,1.764,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,692,119,50,1,0,0,response1disk,,6,22,2,1,0,0,rectangle,22,2,1,0,0,,,,,,,22,2,1,0,0,,0,33,33,125,1,
,,,,,,,,,,,,,FF,,,,,,,,1.8682,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1103,106,-66,1,0,0,response3disk,,5,-11,2,1,0,0,rectangle,-11,2,1,0,0,,,,,,,-11,2,1,0,0,,0,34,34,140,1,
,,,,,,,,,,,,,FF,,,,,,,,2.1943,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1213,-109,-34,1,0,0,response5disk,,2,14,1,1,0,0,rectangle,14,1,1,0,0,,,,,,,14,1,1,0,0,,0,35,35,147,1,
