key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,,id
,,,,,,,,,,,,,FF,,,,,,,,1.8412,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1197,20.00001174,-71.2000075,1,0,0,response3disk,,4,-16.79998881,-13.60000664,1,0,0,rectangle,-16.79998881,-13.60000664,1,0,0,-16.79998881,-13.60000664,1,0,0,0,13,13,74,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8231,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3981,-47.19998926,-56.00000727,1,0,0,response5disk,,3,-18.39994,4.799993634,1,0,0,rectangle,-18.39994,4.799993634,1,0,0,-18.39994,4.799993634,1,0,0,0,14,14,144,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7717,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2894,-51.99998933,28.79999399,1,0,0,response7disk,,1,27.20001185,6.399993658,1,0,0,rectangle,73.60001254,20.79999387,1,0,0,33.60006077,-3.200006485,1,0,0,0,15,15,106,1,,response1disk_3,TRUE,6,6,"[21,309,118,265,116,296,246,55,29,240,62,304,16,177,91,258,185,62,33,136]",1.0969,rectangle,,
,,,,,,,,,,,,,FF,,,,,,,,2.5037,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1373,-26.39994012,-45.60000712,1,0,0,response5disk,,3,-11.99998873,-12.80000663,1,0,0,rectangle,-11.99998873,-12.80000663,1,0,0,-11.99998873,-12.80000663,1,0,0,0,16,16,129,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8815,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2741,48.00001216,26.39999396,1,0,0,response1disk,,6,6.400011539,8.799993694,1,0,0,rectangle,6.400011539,8.799993694,1,0,0,6.400011539,8.799993694,1,0,0,0,17,17,132,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8444,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,766,33.60006077,-28.00000685,1,0,0,response3disk,,5,8.000011563,-11.2000066,1,0,0,rectangle,8.000011563,-11.2000066,1,0,0,8.000011563,-11.2000066,1,0,0,0,18,18,36,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8044,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1677,-56.7999894,66.39999455,1,0,0,response7disk,,0,-5.599988639,8.799993694,1,0,0,rectangle,-5.599988639,8.799993694,1,0,0,-5.599988639,8.799993694,1,0,0,0,19,19,55,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2633,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2279,63.20001239,19.99999386,1,0,0,response1disk,,6,12.00001162,3.19999361,1,0,0,rectangle,-35.19998908,-78.40000761,1,0,0,-9.599988699,7.999993682,1,0,0,0,20,20,12,1,,response5disk_3,TRUE,3,3,"[21,309,118,265,116,296,246,55,29,240,62,304,16,177,91,258,185,62,33,136]",1.1005,rectangle,,
,,,,,,,,,,,,,FF,,,,,,,,0.8962,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3185,45.60006095,-34.40000695,1,0,0,response3disk,,5,12.00001162,-16.00000668,1,0,0,rectangle,12.00001162,-16.00000668,1,0,0,12.00001162,-16.00000668,1,0,0,0,21,21,49,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7572,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1916,-36.7999891,-18.40000671,1,0,0,response5disk,,2,-19.99998885,-2.400006473,1,0,0,rectangle,-19.99998885,-2.400006473,1,0,0,-19.99998885,-2.400006473,1,0,0,0,22,22,4,1,,,,,,,,,,
