key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,1.08374,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2888,-143,-61,1,0,0,response5disk,,4,35,9,1,0,0,rectangle,35,9,1,0,0,0,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",35,9,1,0,0,0,13,13,146,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.51713,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4237,-147,62,1,0,0,response7disk,,1,-11,-13,1,0,0,rectangle,-11,-13,1,0,0,0,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",-11,-13,1,0,0,0,14,14,21,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.41684,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2555,140,-86,1,0,0,response3disk,,5,2,-6,1,0,0,rectangle,2,-6,1,0,0,5,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",2,-6,1,0,0,0,15,15,82,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.413405,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3459,116,151,1,0,0,response1disk,,7,49,-2,1,0,0,rectangle,49,-2,1,0,0,7,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",49,-2,1,0,0,0,16,16,79,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.13356,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3037,219,-116,1,0,0,response3disk,,5,-27,-7,1,0,0,rectangle,-27,-7,1,0,0,6,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",-27,-7,1,0,0,0,17,17,128,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9336,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3724,-90,-176,1,0,0,response5disk,,3,37,-22,1,0,0,rectangle,37,-22,1,0,0,3,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",37,-22,1,0,0,0,18,18,92,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.83449,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4200,-39,137,1,0,0,response7disk,,0,2,8,1,0,0,rectangle,2,8,1,0,0,1,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",2,8,1,0,0,0,19,19,90,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9172,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2660,-74,144,1,0,0,response7disk,,0,6,-3,1,0,0,rectangle,6,-3,1,0,0,5,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",6,-3,1,0,0,0,20,20,55,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1388,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2984,64,148,1,0,0,response1disk,,7,24,12,1,0,0,rectangle,24,12,1,0,0,1,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",24,12,1,0,0,0,21,21,36,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.18803,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3848,-117,77,1,0,0,response7disk,,1,-9,10,1,0,0,rectangle,-9,10,1,0,0,3,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",-9,10,1,0,0,0,22,22,121,1,,,
