key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,1.183,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2481,-22,-70,1,0,0,response5disk,,3,-12,-16,1,0,0,rectangle,-12,-16,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-12,-16,1,0,0,0,13,13,4,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2364,-31,-55,1,0,0,response5disk,,3,-7,-8,1,0,0,rectangle,-7,-8,1,0,0,7,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-7,-8,1,0,0,0,14,14,129,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.066,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2749,34,-49,1,0,0,response3disk,,4,3,-12,1,0,0,rectangle,3,-12,1,0,0,2,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",3,-12,1,0,0,0,15,15,104,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.851,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1762,-27,-65,1,0,0,response5disk,,3,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,2,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-1,-1,1,0,0,0,16,16,97,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,149,27,-54,1,0,0,response3disk,,4,12,11,1,0,0,rectangle,12,11,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",12,11,1,0,0,0,17,17,126,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.833,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1881,72,-32,1,0,0,response3disk,,5,14,-14,1,0,0,rectangle,14,-14,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",14,-14,1,0,0,0,18,18,71,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.451,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,4262,50,-22,1,0,0,response3disk,,5,9,-15,1,0,0,rectangle,9,-15,1,0,0,7,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",9,-15,1,0,0,0,19,19,94,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.782,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,179,38,-22,1,0,0,response3disk,,5,10,-14,1,0,0,rectangle,10,-14,1,0,0,5,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",10,-14,1,0,0,0,20,20,66,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.534,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2888,53,-34,1,0,0,response3disk,,5,19,-12,1,0,0,rectangle,19,-12,1,0,0,6,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",19,-12,1,0,0,0,21,21,53,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.216,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1286,-29,-49,1,0,0,response5disk,,3,-21,-9,1,0,0,rectangle,-21,-9,1,0,0,5,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-21,-9,1,0,0,0,22,22,98,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.349,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2833,-46,-34,1,0,0,response5disk,,3,-8,-13,1,0,0,rectangle,-8,-13,1,0,0,6,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-8,-13,1,0,0,0,23,23,67,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.367,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2878,33,-66,1,0,0,response3disk,,4,13,-17,1,0,0,rectangle,13,-17,1,0,0,6,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",13,-17,1,0,0,0,24,24,154,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.784,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,553,33,-55,1,0,0,response3disk,,4,14,-9,1,0,0,rectangle,14,-9,1,0,0,2,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",14,-9,1,0,0,0,25,25,15,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.033,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1416,37,-27,1,0,0,response3disk,,5,11,-12,1,0,0,rectangle,11,-12,1,0,0,2,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",11,-12,1,0,0,0,26,26,115,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.918,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2307,23,-64,1,0,0,response3disk,,4,11,-16,1,0,0,rectangle,11,-16,1,0,0,1,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",11,-16,1,0,0,0,27,27,11,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.282,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1237,-18,-61,1,0,0,response5disk,,3,-14,-6,1,0,0,rectangle,-14,-6,1,0,0,1,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-14,-6,1,0,0,0,28,28,155,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.216,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2464,61,-33,1,0,0,response3disk,,5,-2,-6,1,0,0,rectangle,-2,-6,1,0,0,7,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-2,-6,1,0,0,0,29,29,21,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.917,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2088,38,-49,1,0,0,response3disk,,4,4,15,1,0,0,rectangle,4,15,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",4,15,1,0,0,0,30,30,137,1,,,
