key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,fbclid,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,0.882985,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,1356,-32.79998904,-41.60000706,1,0,0,response5disk,,3,-5.599988639,-2.400006473,1,0,0,rectangle,-5.599988639,-2.400006473,1,0,0,4,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",-5.599988639,-2.400006473,1,0,0,0,13,13,103,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.750475,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,1295,-36.7999891,-33.60000694,1,0,0,response5disk,,3,-7.999988675,-3.200006485,1,0,0,rectangle,-7.999988675,-3.200006485,1,0,0,4,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",-7.999988675,-3.200006485,1,0,0,0,14,14,37,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.218275,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,1719,-44.79998922,50.39999431,1,0,0,response7disk,,0,7.200011551,1.599993587,1,0,0,rectangle,7.200011551,1.599993587,1,0,0,0,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",7.200011551,1.599993587,1,0,0,0,15,15,125,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.981865,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,3967,56.00001228,38.39999413,1,0,0,response1disk,,6,-5.599988639,-4.800006509,1,0,0,rectangle,-5.599988639,-4.800006509,1,0,0,2,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",-5.599988639,-4.800006509,1,0,0,0,16,16,11,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.00028,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,3339,33.60006077,-38.40000701,1,0,0,response3disk,,4,8.000011563,2.399993598,1,0,0,rectangle,8.000011563,2.399993598,1,0,0,5,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",8.000011563,2.399993598,1,0,0,0,17,17,118,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.647395,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,1226,-37.59998912,-25.60000682,1,0,0,response5disk,,4,4.000011504,1.599993587,1,0,0,rectangle,-36.7999891,33.59999406,1,0,0,0,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",-1.59998858,1.599993587,1,0,0,0,18,18,9,1,,response7disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,0.948485,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,37,-33.59998906,30.39999402,1,0,0,response7disk,,1,4.800011516,2.399993598,1,0,0,rectangle,4.800011516,2.399993598,1,0,0,3,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",4.800011516,2.399993598,1,0,0,0,19,19,152,1,,,
,,,,,,,,,,,,,FF,,,,,,,,4.67939,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,845,-28.79998899,-33.60000694,1,0,0,response5disk,,3,-2.399939764,3.999993622,1,0,0,rectangle,-2.399939764,3.999993622,1,0,0,3,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",-2.399939764,3.999993622,1,0,0,0,20,20,149,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.84997,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,2967,37.60006083,-46.40000713,1,0,0,response3disk,,4,3.200011492,-2.400006473,1,0,0,rectangle,3.200011492,-2.400006473,1,0,0,0,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",3.200011492,-2.400006473,1,0,0,0,21,21,6,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.69583,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,2049,32.00001192,26.39999396,1,0,0,response1disk,,6,-6.399939823,-4.000006497,1,0,0,rectangle,-6.399939823,-4.000006497,1,0,0,7,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",-6.399939823,-4.000006497,1,0,0,0,22,22,140,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.66566,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,1632,49.60006101,27.99999398,1,0,0,response1disk,,6,9.600060415,-5.600006521,1,0,0,rectangle,33.60006077,24.79999393,1,0,0,2,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",6.400011539,-3.200006485,1,0,0,0,23,23,36,1,,response1disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,0.69967,,,,,,,,,,,,,,,,,,,,,,,5ded025913911c3c46a677d7,60a66af1e47a63d368c27e1e,2021-05-21_11h49.26.183,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,IwAR3k7-6vj3irAEF0nSIH_BuJmJRQbL6BOnOOwIr76KIS1zz-MvQixBW2OPI,,,,,3767,44.80001211,-37.600007,1,0,0,response3disk,,5,-2.399939764,-2.400006473,1,0,0,rectangle,-2.399939764,-2.400006473,1,0,0,6,"[179,92,138,19,74,288,322,224,73,230,262,24,221,126,175,316,96,209,177,188]",-2.399939764,-2.400006473,1,0,0,0,24,24,97,1,,,
