key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.186745,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1158,84,-57,1,0,0,response3disk,,5,-2,-4,1,0,0,rectangle,-2,-4,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-2,-4,1,0,0,,0,77,77,49,1,
,,,,,,,,,,,,,FF,,,,,,,,1.206765,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2374,68,-50,1,0,0,response3disk,,5,-6,-9,1,0,0,rectangle,-6,-9,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-6,-9,1,0,0,,0,78,78,6,1,
,,,,,,,,,,,,,FF,,,,,,,,2.01718,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,792,58,-80,1,0,0,response3disk,,4,2,-1,1,0,0,rectangle,2,-1,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",2,-1,1,0,0,,0,79,79,25,1,
,,,,,,,,,,,,,FF,,,,,,,,2.05452,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,470,91,-65,1,0,0,response3disk,,5,3,-2,1,0,0,rectangle,3,-2,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",3,-2,1,0,0,,0,80,80,4,1,
,,,,,,,,,,,,,FF,,,,,,,,2.017295,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2862,80,-54,1,0,0,response3disk,,5,-1,-5,1,0,0,rectangle,-1,-5,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-1,-5,1,0,0,,0,81,81,101,1,
,,,,,,,,,,,,,FF,,,,,,,,1.006925,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1390,54,-81,1,0,0,response3disk,,4,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-1,-1,1,0,0,,0,82,82,81,1,
,,,,,,,,,,,,,FF,,,,,,,,0.956355,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2255,72,36,1,0,0,response1disk,,6,7,-7,1,0,0,rectangle,7,-7,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",7,-7,1,0,0,,0,83,83,50,1,
,,,,,,,,,,,,,FF,,,,,,,,1.169525,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,4347,29,-65,1,0,0,response3disk,,4,-4,-5,1,0,0,rectangle,-4,-5,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-4,-5,1,0,0,,0,84,84,122,1,
,,,,,,,,,,,,,FF,,,,,,,,1.314965,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,294,39,-59,1,0,0,response3disk,,4,-7,-3,1,0,0,rectangle,-82,56,1,0,0,response7disk_3,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-13,-2,1,0,0,rectangle,0,85,85,26,1,
,,,,,,,,,,,,,FF,,,,,,,,2.371545,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2271,72,-44,1,0,0,response3disk,,5,-14,-11,1,0,0,rectangle,-14,-11,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-14,-11,1,0,0,,0,86,86,15,1,
,,,,,,,,,,,,,FF,,,,,,,,1.219295,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2612,42,-83,1,0,0,response3disk,,4,-12,-10,1,0,0,rectangle,-12,-10,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-12,-10,1,0,0,,0,87,87,100,1,
,,,,,,,,,,,,,FF,,,,,,,,0.918915,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3696,78,-37,1,0,0,response3disk,,5,7,0,1,0,0,rectangle,7,0,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",7,0,1,0,0,,0,88,88,12,1,
,,,,,,,,,,,,,FF,,,,,,,,2.35488,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2897,95,-40,1,0,0,response3disk,,5,4,-4,1,0,0,rectangle,4,-4,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",4,-4,1,0,0,,0,89,89,42,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2867,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,408,42,-63,1,0,0,response3disk,,4,-4,-9,1,0,0,rectangle,-4,-9,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-4,-9,1,0,0,,0,90,90,53,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7205,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3919,36,-64,1,0,0,response3disk,,4,-4,-7,1,0,0,rectangle,41,120,1,0,0,response1disk_3,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-11,-2,1,0,0,rectangle,0,91,91,16,1,
,,,,,,,,,,,,,FF,,,,,,,,1.470015,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1907,41,-64,1,0,0,response3disk,,4,-4,-3,1,0,0,rectangle,-4,-3,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-4,-3,1,0,0,,0,92,92,128,1,
,,,,,,,,,,,,,FF,,,,,,,,1.37398,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,533,-38,-75,1,0,0,response5disk,,3,0,-12,1,0,0,rectangle,0,-12,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",0,-12,1,0,0,,0,93,93,106,1,
,,,,,,,,,,,,,FF,,,,,,,,1.05683,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,4225,-68,-31,1,0,0,response5disk,,3,10,0,1,0,0,rectangle,10,0,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",10,0,1,0,0,,0,94,94,34,1,
,,,,,,,,,,,,,FF,,,,,,,,1.018615,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1927,82,-42,1,0,0,response3disk,,5,-6,1,1,0,0,rectangle,-6,1,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-6,1,1,0,0,,0,95,95,133,1,
,,,,,,,,,,,,,FF,,,,,,,,1.469765,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2050,70,32,1,0,0,response1disk,,6,0,-9,1,0,0,rectangle,0,-9,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",0,-9,1,0,0,,0,96,96,70,1,
,,,,,,,,,,,,,FF,,,,,,,,3.623785,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1946,84,-28,1,0,0,response3disk,,5,19,-2,1,0,0,rectangle,19,-2,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",19,-2,1,0,0,,0,97,97,153,1,
,,,,,,,,,,,,,FF,,,,,,,,1.33615,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3403,57,34,1,0,0,response1disk,,6,-5,-5,1,0,0,rectangle,-5,-5,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-5,-5,1,0,0,,0,98,98,8,1,
,,,,,,,,,,,,,FF,,,,,,,,1.268975,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1803,86,-25,1,0,0,response3disk,,5,19,6,1,0,0,rectangle,-92,-43,1,0,0,response5disk_3,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",14,-3,1,0,0,rectangle,0,99,99,0,1,
,,,,,,,,,,,,,FF,,,,,,,,2.42146,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3798,69,-49,1,0,0,response3disk,,5,-7,-2,1,0,0,rectangle,-49,-119,1,0,0,response5disk_3,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-4,-1,1,0,0,rectangle,0,100,100,141,1,
,,,,,,,,,,,,,FF,,,,,,,,5.961795,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1267,85,-50,1,0,0,response3disk,,5,2,-2,1,0,0,rectangle,2,-2,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",2,-2,1,0,0,,0,101,101,120,1,
,,,,,,,,,,,,,FF,,,,,,,,1.46955,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,4194,48,-72,1,0,0,response3disk,,4,6,-10,1,0,0,rectangle,6,-10,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",6,-10,1,0,0,,0,102,102,44,1,
,,,,,,,,,,,,,FF,,,,,,,,1.002035,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,562,43,-70,1,0,0,response3disk,,4,-1,-7,1,0,0,rectangle,-1,-7,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-1,-7,1,0,0,,0,103,103,3,1,
,,,,,,,,,,,,,FF,,,,,,,,1.48612,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1814,100,24,1,0,0,response1disk,,6,-7,-4,1,0,0,rectangle,-7,-4,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-7,-4,1,0,0,,0,104,104,35,1,
,,,,,,,,,,,,,FF,,,,,,,,1.168765,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,812,46,-68,1,0,0,response3disk,,4,1,-6,1,0,0,rectangle,1,-6,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",1,-6,1,0,0,,0,105,105,138,1,
,,,,,,,,,,,,,FF,,,,,,,,1.185745,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2643,40,-62,1,0,0,response3disk,,4,4,3,1,0,0,rectangle,4,3,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",4,3,1,0,0,,0,106,106,157,1,
,,,,,,,,,,,,,FF,,,,,,,,1.068375,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3348,58,-37,1,0,0,response3disk,,5,-2,-2,1,0,0,rectangle,-2,-2,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-2,-2,1,0,0,,0,107,107,23,1,
,,,,,,,,,,,,,FF,,,,,,,,1.28626,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1201,-32,-67,1,0,0,response5disk,,3,1,1,1,0,0,rectangle,1,1,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",1,1,1,0,0,,0,108,108,77,1,
,,,,,,,,,,,,,FF,,,,,,,,0.90184,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1370,-66,-32,1,0,0,response5disk,,3,11,1,1,0,0,rectangle,11,1,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",11,1,1,0,0,,0,109,109,116,1,
,,,,,,,,,,,,,FF,,,,,,,,1.08556,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,58,93,-49,1,0,0,response3disk,,5,-3,-1,1,0,0,rectangle,-3,-1,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-3,-1,1,0,0,,0,110,110,39,1,
,,,,,,,,,,,,,FF,,,,,,,,1.252725,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2083,40,-55,1,0,0,response3disk,,4,-7,-2,1,0,0,rectangle,-7,-2,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-7,-2,1,0,0,,0,111,111,54,1,
,,,,,,,,,,,,,FF,,,,,,,,1.185395,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2279,75,36,1,0,0,response1disk,,6,0,-7,1,0,0,rectangle,0,-7,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",0,-7,1,0,0,,0,112,112,7,1,
,,,,,,,,,,,,,FF,,,,,,,,2.00375,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3796,82,-34,1,0,0,response3disk,,5,1,0,1,0,0,rectangle,1,0,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",1,0,1,0,0,,0,113,113,37,1,
,,,,,,,,,,,,,FF,,,,,,,,2.05392,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1683,51,-71,1,0,0,response3disk,,4,11,-9,1,0,0,rectangle,11,-9,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",11,-9,1,0,0,,0,114,114,105,1,
,,,,,,,,,,,,,FF,,,,,,,,2.07058,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,412,53,38,1,0,0,response1disk,,6,5,-2,1,0,0,rectangle,5,-2,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",5,-2,1,0,0,,0,115,115,104,1,
,,,,,,,,,,,,,FF,,,,,,,,2.020685,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1518,69,30,1,0,0,response1disk,,6,7,-6,1,0,0,rectangle,7,-6,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",7,-6,1,0,0,,0,116,116,72,1,
,,,,,,,,,,,,,FF,,,,,,,,1.20234,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,767,39,73,1,0,0,response1disk,,7,2,2,1,0,0,rectangle,2,2,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",2,2,1,0,0,,0,117,117,98,1,
,,,,,,,,,,,,,FF,,,,,,,,1.302725,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1700,71,30,1,0,0,response1disk,,6,14,3,1,0,0,rectangle,14,3,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",14,3,1,0,0,,0,118,118,75,1,
,,,,,,,,,,,,,FF,,,,,,,,1.352875,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2334,70,-52,1,0,0,response3disk,,5,-3,-6,1,0,0,rectangle,-3,-6,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-3,-6,1,0,0,,0,119,119,103,1,
,,,,,,,,,,,,,FF,,,,,,,,1.068725,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,633,-72,-36,1,0,0,response5disk,,5,0,-11,1,0,0,rectangle,0,-11,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",0,-11,1,0,0,,0,120,120,102,1,
,,,,,,,,,,,,,FF,,,,,,,,2.45505,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2343,63,-42,1,0,0,response3disk,,5,4,-7,1,0,0,rectangle,4,-7,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",4,-7,1,0,0,,0,121,121,152,1,
,,,,,,,,,,,,,FF,,,,,,,,1.23569,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3363,77,-45,1,0,0,response3disk,,5,9,2,1,0,0,rectangle,9,2,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",9,2,1,0,0,,0,122,122,127,1,
,,,,,,,,,,,,,FF,,,,,,,,1.45256,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3519,-44,-70,1,0,0,response5disk,,3,3,-4,1,0,0,rectangle,3,-4,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",3,-4,1,0,0,,0,123,123,10,1,
,,,,,,,,,,,,,FF,,,,,,,,1.202575,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3291,-77,-39,1,0,0,response5disk,,3,-5,-7,1,0,0,rectangle,40,-118,1,0,0,response3disk_3,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-8,-3,1,0,0,rectangle,0,124,124,112,1,
